종점,노선ID,노선번호,노선유형,기점
파계사(종점),DGB3000101114,101-1,간선버스,파계사(종점)
파계사(종점),DGB3000101115,101-1,간선버스,파계사(종점)
파계사(종점),DGB3000101116,101-1,간선버스,파계사(종점)
파계사(종점),DGB3000101117,101-1,간선버스,파계사(종점)
신흥버스,DGB3000156000,156,간선버스,신덕마을입구건너
금호지구종점(종점방향),DGB3000204000,204,간선버스,범물1동행정복지센터건너
방천리공영차고지,DGB3000232000,232,간선버스,방천리공영차고지
냉천전원음식점지구,DGB3000240001,240,간선버스,방천리공영차고지
앞산공원,DGB3000300000,300,간선버스,유통단지회차지2
가창초등학교건너,DGB3000304001,304,간선버스,유통단지회차지2
대곡공원건너,DGB3000306000,306,간선버스,유통단지회차지2
부적주공A 건너,DGB3000309002,309,간선버스,서대구역(남측)1
앞산공원,DGB3000320000,320,간선버스,성보교통앞
방천리공영차고지,DGB3000323101,232-1,간선버스,방천리공영차고지
유통단지회차지,DGB3000326000,326,간선버스,남도버스1
유통단지회차지,DGB3000349000,349,간선버스,덕원고등학교앞2
월광수변공원,DGB3000356000,356,간선버스,조야동(종점)
갓바위,DGB3000401000,401,간선버스,범물1동행정복지센터건너
갓바위,DGB3000401078,401,간선버스,범물1동행정복지센터건너
갓바위,DGB3000401079,401,간선버스,범물1동행정복지센터건너
서대구역(남측)2,DGB3000402001,402,간선버스,범물1동행정복지센터건너
조야동(종점),DGB3000403001,403,간선버스,범물1동행정복지센터건너
방천리공영차고지,DGB3000405004,405,간선버스,삼산리(세왕교통1)
앞산공원,DGB3000410000,410,간선버스,앞산공원
앞산공원,DGB3000410100,410-1,간선버스,앞산공원
유통단지회차지,DGB3000413001,413,간선버스,가창초등학교앞
매곡(종점),DGB3000425000,425,간선버스,황금고가교네거리
연경동종점1,DGB3000501000,501,간선버스,신흥버스
신흥버스,DGB3000503001,503,간선버스,연경동종점2
두리봉터널종점,DGB3000504000,504,간선버스,방천리공영차고지
소라아파트 건너,DGB3000509002,509,간선버스,방천리공영차고지
안심역(4번출구),DGB3000518002,518,간선버스,신흥버스
매곡(종점),DGB3000520000,520,간선버스,연화리
방천리공영차고지,DGB3000523002,523,간선버스,성보교통앞
동명교통,DGB3000527000,527,간선버스,연화리
범물1동행정복지센터앞,DGB3000564000,564,간선버스,연화리
