제품명,급여구분,특정연령,특정연령단위,업체명,금기연령층
뉴록사신주(시프로플록사신)_(0.4g/200mL),급여,18,세 미만,구주제약(주),청소년
제이더블유생명시프로플록사신주_(0.4g/200mL),급여,18,세 미만,제이더블유생명과학(주),청소년
베아신주(시프로플록사신)_(0.4g/200mL),급여,18,세 미만,대웅바이오(주),청소년
씨플록스정(시프로플록사신염산염수화물)_(0.291g/1정),급여,18,세 미만,(주)중헌제약,청소년
시프로투정250밀리그램(시프로플록사신염산염수화물)_(0.291g/1정),급여,18,세 미만,코스맥스파마(주),청소년
씨큐로바이정(시프로플록사신염산염수화물)_(0.291g/1정),급여,18,세 미만,주식회사 더유제약,청소년
시프로사정(시프로플록사신염산염수화물)_(0.291g/1정),급여,18,세 미만,주식회사케이에스제약,청소년
메가시플록정(시프로플록사신염산염수화물)_(0.291g/1정),급여,18,세 미만,(주)엘앤씨바이오,청소년
씨플록정250mg(시프로플록사신염산염수화물)_(0.291g/1정),급여,18,세 미만,(주)이든파마,청소년
시프록스정(시프로플록사신염산염)_(0.291g/1정),급여,18,세 미만,(주)오스코리아제약,청소년
사이톱신정(시프로플록사신염산염)_(0.2915g/1정),급여,18,세 미만,에이치케이이노엔(주),청소년
씨록사신정(시프로플록사신염산염)_(0.291g/1정),급여,18,세 미만,(주)일화,청소년
더모베이트액(클로베타솔프로피오네이트)_(12.5mg/25mL),급여,24,개월 미만,(주)글락소스미스클라인,영유아
베타베이트액(클로베타솔프로피오네이트)[수출명:클로베덤0.05%액(CLOBEDERM0.05%Solution)]_(13.98mg/30mL),급여,24,개월 미만,고려제약(주),영유아
도모호론액(클로베타솔프로피오네이트)_(13.98mg/30mL),급여,24,개월 미만,(주)동구바이오제약,영유아
스테이벤액(클로베타솔프로피오네이트)_(16.1mg/35mL),급여,24,개월 미만,동화약품(주),영유아
듀오피엔액(클로베타솔프로피오네이트)_(23.3mg/50mL),급여,24,개월 미만,주식회사 더유제약,영유아
케이타솔액(클로베타솔프로피오네이트)_(23.3mg/50mL),급여,24,개월 미만,에이치케이이노엔(주),영유아
더비솔액(클로베타솔프로피오네이트)_(23.3mg/50mL),급여,24,개월 미만,(주)메디카코리아,영유아
크로솔액(클로베타솔프로피오네이트)_(23.3mg/50mL),급여,24,개월 미만,(주)한국파마,영유아
코베이트액(클로베타솔프로피오네이트)_(23.3mg/50mL),급여,24,개월 미만,코오롱제약(주),영유아
